policy_number,incurred_date,reported_date,paid_date,incurred_amount,paid_amount,LOB
POL-39300,2018-01-02,2018-01-18,2018-07-24,2950.95,2517.77,Closed
POL-37094,2018-01-04,2018-03-02,2018-11-29,16181.15,13963.13,Closed
POL-99678,2018-01-05,2018-01-15,2019-01-10,508.22,482.68,Closed
POL-95119,2018-01-06,2018-02-25,2018-08-27,5695.37,5489.05,Open
POL-72901,2018-01-10,2018-01-20,2018-05-07,520.96,514.53,Closed
POL-74148,2018-01-10,2018-02-02,2018-05-10,223.99,209.06,Closed
POL-97736,2018-01-11,2018-02-02,2018-12-02,2611.98,2274.24,Closed
POL-69722,2018-01-12,2018-01-30,2018-07-27,3196.29,2740.91,Closed
POL-69156,2018-01-17,2018-02-27,2019-02-24,1667.74,1607.1,Closed
POL-92035,2018-01-20,2018-02-23,2018-04-11,2128.35,2126.7,Closed
POL-54547,2018-01-22,2018-03-01,2018-03-15,2835.24,2724.08,Closed
POL-22963,2018-01-25,2018-03-08,2018-10-13,7951.54,7781.56,Closed
POL-13159,2018-01-28,2018-03-01,2019-01-07,1609.29,1359.72,Closed
